epoch,generalized_dice,loss,val_generalized_dice,val_loss
0,0.5221604704856873,0.544570803642273,0.12450313568115234,0.9616727828979492
1,0.6378560662269592,0.41061025857925415,0.22141294181346893,0.8354339599609375
2,0.6792317628860474,0.36368444561958313,0.2252751588821411,0.8173549771308899
3,0.6902762651443481,0.3498572111129761,0.22678211331367493,0.8124718070030212
4,0.688624918460846,0.3507236838340759,0.2283332198858261,0.8202471733093262
5,0.7075069546699524,0.32892554998397827,0.22330094873905182,0.8256632685661316
6,0.7225291132926941,0.31238141655921936,0.24777144193649292,0.7938963174819946
7,0.7211902141571045,0.313118577003479,0.2473112940788269,0.7883422374725342
8,0.7226296067237854,0.3107888698577881,0.2459101527929306,0.7898628115653992
9,0.7257199287414551,0.3076786398887634,0.23025824129581451,0.8139058351516724
10,0.7259920239448547,0.3073975145816803,0.23891112208366394,0.7966150641441345
11,0.7339732050895691,0.2982785403728485,0.24748848378658295,0.7889377474784851
12,0.7341020107269287,0.29709941148757935,0.24663157761096954,0.793053388595581
13,0.7375082969665527,0.29425033926963806,0.24642065167427063,0.7892649173736572
14,0.7411450743675232,0.28938132524490356,0.2375389188528061,0.7987456917762756
15,0.748407244682312,0.2822655439376831,0.24279579520225525,0.7963427305221558
16,0.7360120415687561,0.2964322865009308,0.24033913016319275,0.8000087738037109
17,0.7434031367301941,0.2873114049434662,0.25059962272644043,0.7816300392150879
18,0.7411980032920837,0.288833349943161,0.24029392004013062,0.799018144607544
19,0.7524448037147522,0.2765297591686249,0.24957041442394257,0.7836896777153015
20,0.7263450026512146,0.3073892593383789,0.1889258623123169,0.8734133839607239
21,0.70632404088974,0.3302948474884033,0.24490927159786224,0.7905544638633728
22,0.7289384007453918,0.30356308817863464,0.2518247961997986,0.7860205769538879
23,0.7374430298805237,0.293900728225708,0.24867677688598633,0.7953499555587769
24,0.7430915832519531,0.2870989739894867,0.2478768676519394,0.7883579134941101
25,0.7502283453941345,0.2796546518802643,0.25292232632637024,0.7812511324882507
26,0.7533074617385864,0.2754388451576233,0.25081682205200195,0.7836766839027405
27,0.7442816495895386,0.2865222990512848,0.25241732597351074,0.7809327840805054
28,0.7496080994606018,0.2792559266090393,0.24156902730464935,0.792847216129303
29,0.7563149929046631,0.27228301763534546,0.2523314654827118,0.7820512056350708
30,0.7610960006713867,0.2669581174850464,0.25484606623649597,0.7785134315490723
31,0.7653970718383789,0.2619197964668274,0.2548888623714447,0.7770267724990845
32,0.7666855454444885,0.2607869803905487,0.25129786133766174,0.7811517119407654
33,0.7687404155731201,0.2581627666950226,0.248810276389122,0.7915315628051758
34,0.771904706954956,0.2549057900905609,0.25929129123687744,0.7746405005455017
35,0.77276611328125,0.2545102834701538,0.25589630007743835,0.7769726514816284
36,0.752046525478363,0.2773568630218506,0.2541811168193817,0.7795320749282837
37,0.7670005559921265,0.26003462076187134,0.25213631987571716,0.7852821946144104
38,0.7666764855384827,0.26008185744285583,0.25291773676872253,0.7793843746185303
39,0.7714086174964905,0.2553657591342926,0.2385125458240509,0.805062472820282
40,0.7734134197235107,0.25329768657684326,0.23662813007831573,0.8088556528091431
